x y objectid ncesid name address city state zip zip4 telephone type status population county countyfips country latitude longitude naics_code naics_desc source sourcedate val_method val_date website level_ enrollment st_grade end_grade districtid ft_teacher shelter_id
-9490891.7502 3822087.5330000003 10697 10288001132 "DIXIE ELEMENTARY SCHOOL" "4914 US HIGHWAY 80 W" OPELIKA AL 36804 "NOT AVAILABLE" "(706) 321-2228" 1 1 252 RUSSELL 1113 USA 32.446674955 -85.258131191 611110 "ELEMENTARY AND SECONDARY SCHOOLS" http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=010288001132 "2010/01/29 00:00:00" IMAGERY/OTHER "2010/06/28 00:00:00" http://myrcsd.org/dixieelementary/ ELEMENTARY 238 PK 05 102880 14 "NOT AVAILABLE"
-10884689.5317 4566194.1673 26745 200696001679 "HAVEN MIDDLE SCHOOL" "320 NORTH EMPORIA" HAVEN KS 67543 "NOT AVAILABLE" "(620) 465-2587" 1 1 116 RENO 20155 USA 37.9062757510001 -97.778829692 611110 "ELEMENTARY AND SECONDARY SCHOOLS" http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=200696001679 "2009/10/13 00:00:00" IMAGERY/OTHER "2016/04/11 00:00:00" http://www.havenschools.com/ MIDDLE 109 07 08 2006960 7 "NOT AVAILABLE"
-9347687.4905 4026681.5031 54394 130255004057 "GWINNETT ONLINE CAMPUS" "713 HI HOPE RD" LAWRENCEVILLE GA 30043 "NOT AVAILABLE" "(770) 326-8082" 1 1 477 GWINNETT 13135 USA 33.98420621 -83.9717054389999 611110 "ELEMENTARY AND SECONDARY SCHOOLS" http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=130255004057 "2014/02/04 00:00:00" IMAGERY/OTHER "2019/01/07 00:00:00" "NOT AVAILABLE" OTHER 445 04 12 1302550 32 "NOT AVAILABLE"
-10046677.3047 4677878.141 5617 292928002015 "WALBRIDGE ELEM. COMMUNITY ED." "5000 DAVISON AVE" "ST LOUIS" MO 63120 2319 "(314) 383-1829" 1 1 250 "ST. LOUIS" 29510 USA 38.6936083470001 -90.25083777399999 611110 "ELEMENTARY AND SECONDARY SCHOOLS" http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=292928002015 "2010/01/29 00:00:00" IMAGERY "2010/05/27 00:00:00" "NOT AVAILABLE" ELEMENTARY 230 PK 06 2929280 20 "NOT AVAILABLE"
-10881244.1361 3639257.6294 27245 482566012054 "CHARLES E PATTERSON MIDDLE" "8383 W TRIMMIER RD" KILLEEN TX 76542 "NOT AVAILABLE" "(254) 336-7100" 1 1 1066 BELL 48027 USA 31.050102590999998 -97.747879177 611110 "ELEMENTARY AND SECONDARY SCHOOLS" http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=482566012054 "2011/08/04 00:00:00" IMAGERY/OTHER "2019/01/15 00:00:00" http://www.killeenisd.org MIDDLE 1002 06 08 4825660 64 "NOT AVAILABLE"
-10808054.4748 3838890.2 33643 482892009383 "MANSFIELD H S" "3001 E BROAD ST" MANSFIELD TX 76063 "NOT AVAILABLE" "(682) 314-0100" 1 1 2612 TARRANT 48439 USA 32.5739625850001 -97.090405263 611110 "ELEMENTARY AND SECONDARY SCHOOLS" http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=482892009383 "2010/01/29 00:00:00" IMAGERY "2011/11/09 00:00:00" http://mansfield.mansfieldisd.org HIGH 2468 09 12 4828920 144 "NOT AVAILABLE"
-10372220.1275 3530843.1819 10011 220033000241 "JOHN F. KENNEDY ELEMENTARY SCHOOL" "2001 RUSSELL STREET" "LAKE CHARLES" LA 70615 "NOT AVAILABLE" "(337) 217-4760" 1 1 186 CALCASIEU 22019 USA 30.212104832000104 -93.1752387079999 611110 "ELEMENTARY AND SECONDARY SCHOOLS" http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=220033000241 "2009/10/13 00:00:00" IMAGERY/OTHER "2016/04/15 00:00:00" "NOT AVAILABLE" ELEMENTARY 173 PK 05 2200330 13 "NOT AVAILABLE"
-12436061.7924 5460666.835 70955 160001600920 "JCC - ST ANTHONY" "2220 EAST 600 NORTH" "ST ANTHONY" ID 83445 40 "(208) 624-3462" 4 1 -999 FREMONT 16043 USA 43.969133963999994 -111.71504382399999 611110 "ELEMENTARY AND SECONDARY SCHOOLS" http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=160001600920 "2010/01/29 00:00:00" GEOCODE "2010/07/15 00:00:00" "NOT AVAILABLE" HIGH 0 06 12 1600016 -999 "NOT AVAILABLE"
-10117392.3505 3523720.8454 51703 220009002326 "SORRENTO PRIMARY SCHOOL" "42111 NORTH CITY PARC DRIVE" SORRENTO LA 70778 "NOT AVAILABLE" "(225) 391-6900" 1 1 607 ASCENSION 22005 USA 30.1567989060001 -90.886081839 611110 "ELEMENTARY AND SECONDARY SCHOOLS" http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=220009002326 "2014/02/04 00:00:00" IMAGERY/OTHER "2014/05/06 00:00:00" "NOT AVAILABLE" ELEMENTARY 572 PK 05 2200090 35 "NOT AVAILABLE"
-13649338.8286 4686658.5499 40793 62475009155 "MIDDLETOWN MIDDLE" "15846 WARDLAW ST." MIDDLETOWN CA 95461 338 "(707) 987-4160" 1 1 266 LAKE 6033 USA 38.755144391 -122.614096879 611110 "ELEMENTARY AND SECONDARY SCHOOLS" http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=062475009155 "2009/10/13 00:00:00" GEOCODE "2016/02/11 00:00:00" "NOT AVAILABLE" MIDDLE 254 07 08 624750 12 "NOT AVAILABLE"
